KeyTerm,Sentence,System1,System2,Reverse,SentenceNumber,text1,text2
dolphin,Dolphins range in size from the 1.7 m -lrb- 5.6 ft -rrb- long and 50 kg -lrb- 110 lb -rrb- maui 's dolphin to the 9.5 m -lrb- 31 ft -rrb- and 10 t -lrb- 11 short tons -rrb- killer whale .,"Relation: range, Related to: in size from the 1.7 m -lrb- 5.6 ft -rrb-","Relation: is used for, Related to: Dolphins<br/>Relation: has the property, Related to: in size from the 1.7<br/>Relation: is defined as, Related to: m -lrb- 5.6 ft -rrb- long and 50 kg -lrb- 110 lb -rrb- maui 's dolphin the 9.5 m -lrb- 31 ft -rrb- and 10 t -lrb- 11 short tons -rrb- killer whale",1,4,,
compress,"Compared to more modern compression utilities such as gzip and bzip2 , compress performs faster and with less memory usage , at the cost of a significantly lower compression ratio .","Relation: has the property, Related to: Compared<br/>Relation: is defined as, Related to: more modern compression utilities such as gzip and bzip2 , faster and with less memory usage , at the cost of a significantly lower compression ratio","Relation: compress, Related to: performs faster and with less memory usage<br/>Relation: performs, Related to: faster and with less memory usage",0,2,,
count,"Count -lrb- male -rrb- , or countess -lrb- female -rrb- , is a historical title of nobility in certain european countries , varying in relative status , generally of middling rank in the hierarchy of nobility .","Relation: is, Related to: a historical title of nobility in certain european countries , varying in relative status , generally of middling rank in the hierarchy of nobility<br/>Relation: varying, Related to: in relative status","Relation: is a, Related to: Count<br/>Relation: is a, Related to: a historical title of nobility in certain european countries<br/>Relation: is part of, Related to: -lrb- male<br/>Relation: is defined as, Related to: varying in relative status , of middling rank in the hierarchy of nobility",1,1,,
bar,"A bar -lrb- also known as a saloon or a tavern or sometimes a pub or club , referring to the actual establishment , as in pub bar or savage club etc. -rrb- is a retail business establishment that serves alcoholic beverages , such as beer , wine , liquor , cocktails , and other beverages such as mineral water and soft drinks and often sell snack foods such as potato chips -lrb- also known as crisps -rrb- or peanuts , for consumption on premises .","Relation: is a, Related to: bar -lrb- also known as a saloon<br/>Relation: is defined as, Related to: or a tavern or sometimes a pub or club , actual establishment , in pub or club etc.<br/>Relation: causes, Related to: savage<br/>Relation: causes, Related to: a retail business establishment that serves alcoholic beverages , such as beer , wine , liquor , cocktails , and other beverages such as mineral water and soft drinks and often sell snack foods such as potato chips -lrb- also known as crisps -rrb- or peanuts , for consumption on premises","Relation: known, Related to: as a saloon or a tavern or sometimes a pub or club<br/>Relation: referring, Related to: to the actual establishment",0,1,,
petal,"Together , all of the petals of a flower are called a corolla .","Relation: are, Related to: called<br/>Relation: called, Related to: a corolla","Relation: is a, Related to: called a corolla",1,3,,
softball,Softball is a variant of baseball played with a larger ball -lrb- 11 to 12 in .,"Relation: is, Related to: a variant of baseball","Relation: is a, Related to: a variant of baseball played with a larger ball -lrb- 11 to 12 in",1,1,,
boat,"Ships are generally distinguished from boats based on their larger size , shape , and cargo or passenger capacity .","Relation: is a, Related to: distinguished from shape and cargo passenger<br/>Relation: has the property, Related to: boats based on their larger size , ,<br/>Relation: is defined as, Related to: or capacity","Relation: based, Related to: on their larger size , shape , and cargo or passenger capacity",0,2,,
fiction,"== overview == in its most narrow usage fiction refers to novels , but it may also denote any `` literary narrative '' -lrb- see literary fiction -rrb- , including novels , novellas , and short stories .","Relation: is a, Related to: == in its most narrow usage fiction refers to novels , but it may also denote any `` literary narrative '' -lrb- see literary fiction -rrb- , including novels , novellas , and short stories","Relation: refers, Related to: to novels<br/>Relation: including, Related to: novels , novellas , and short stories",0,3,,
antibody,"Using this binding mechanism , an antibody can tag a microbe or an infected cell for attack by other parts of the immune system , or can neutralize its target directly -lrb- for example , by inhibiting a part of a microbe that is essential for its invasion and survival -rrb- .","Relation: is used for, Related to: Using this binding<br/>Relation: is defined as, Related to: mechanism , an antibody or<br/>Relation: causes, Related to: a microbe an infected cell for attack by other parts of the immune system , neutralize its target directly -lrb- for example , by a<br/>Relation: causes, Related to: essential for its invasion and survival -rrb-","Relation: tag, Related to: a microbe or an infected cell for attack by other parts of the immune system<br/>Relation: can, Related to: neutralize<br/>Relation: neutralize, Related to: its target directly -lrb-<br/>Relation: inhibiting, Related to: a part of a microbe",0,4,,
magnetometer,"The first magnetometer capable of measuring the absolute magnetic intensity was invented by carl friedrich gauss in 1833 and notable developments in the 19th century included the hall effect , which is still widely used .","Relation: is defined as, Related to: absolute magnetic by carl friedrich gauss in 1833 and notable developments 19th century<br/>Relation: is a, Related to: invented<br/>Relation: causes, Related to: still widely used","Relation: measuring, Related to: the absolute magnetic intensity<br/>Relation: was, Related to: invented<br/>Relation: invented, Related to: by carl friedrich gauss",0,3,,
stonehenge,"Radiocarbon dating suggests that the first bluestones were raised between 2400 and 2200 bc , although they may have been at the site as early as 3000 bc.one of the most famous landmarks in the united kingdom , stonehenge is regarded as a british cultural icon .","Relation: is used for, Related to: first<br/>Relation: is defined as, Related to: bluestones 2400 and 2200 bc ,<br/>Relation: causes, Related to: were raised between at site as early bc.one of most famous landmarks in united<br/>Relation: causes, Related to: regarded as a british cultural icon","Relation: is, Related to: regarded<br/>Relation: regarded, Related to: as a british cultural icon",0,5,,
desire,The motivational aspect of desire has long been noted by philosophers ; thomas hobbes -lrb- 1588 -- 1679 -rrb- asserted that human desire is the fundamental motivation of all human action .,"Relation: has, Related to: by philosophers<br/>Relation: been, Related to: noted<br/>Relation: noted, Related to: by philosophers<br/>Relation: is, Related to: the fundamental motivation of all human action","Relation: is defined as, Related to: motivational aspect of desire<br/>Relation: is defined as, Related to: fundamental motivation of all human action<br/>Relation: causes, Related to: noted by philosophers",1,4,,
music,"General definitions of music include common elements such as pitch -lrb- which governs melody and harmony -rrb- , rhythm -lrb- and its associated concepts tempo , meter , and articulation -rrb- , dynamics -lrb- loudness and softness -rrb- , and the sonic qualities of timbre and texture -lrb- which are sometimes termed the `` color '' of a musical sound -rrb- .","Relation: include, Related to: common elements such as pitch -lrb-","Relation: is a, Related to: General common elements such as pitch -lrb- which<br/>Relation: is defined as, Related to: melody and harmony -rrb- , rhythm -lrb- and its associated concepts tempo , meter , and articulation -rrb- , dynamics -lrb- loudness and softness -rrb- , and the sonic qualities of timbre and texture -lrb- termed the `` color '' of a musical sound -rrb-",1,2,,
fortnight,"== astronomy == in astronomy , a lunar fortnight is half a lunar synodic month , equivalent to the mean period between a full moon and a new moon -lrb- and vice versa -rrb- .","Relation: is a, Related to: half a lunar synodic month , equivalent to the mean period between a full moon<br/>Relation: is defined as, Related to: and a new moon -lrb- and vice versa -rrb-","Relation: is, Related to: half a lunar synodic month , equivalent to the mean period between a full moon and a new moon -lrb- and vice versa -rrb-",0,5,,
rhinoceros,"A rhinoceros -lrb- , from greek rhinokers , meaning ` nose-horned ' , from rhis , meaning ` nose ' , and keras , meaning ` horn ' -rrb- , commonly abbreviated to rhino , is one of any five extant species of odd-toed ungulates in the family rhinocerotidae , as well as any of the numerous extinct species .","Relation: is a, Related to: A greek rhinokers , meaning ` nose-horned ' , from rhis , meaning ` nose ' , and keras , ` horn ' -rrb- , commonly abbreviated<br/>Relation: has the property, Related to: one of any five extant species of odd-toed ungulates in the family<br/>Relation: is defined as, Related to: rhinocerotidae well as any of the numerous extinct species","Relation: meaning, Related to: ` nose - horned<br/>Relation: meaning, Related to: ` nose<br/>Relation: meaning, Related to: ` horn ' -rrb-<br/>Relation: is, Related to: one of any five extant species of odd - toed ungulates in the family rhinocerotidae , as well as any of the numerous extinct species",0,1,,
garden,"The most common form today is known as a residential garden , but the term garden has traditionally been a more general one .","Relation: has, Related to: a more general one<br/>Relation: been, Related to: a more general one","Relation: is a, Related to: known garden<br/>Relation: has the property, Related to: as a residential<br/>Relation: is defined as, Related to: but the term garden has traditionally been a more general one",1,3,,
pulley,"In the case of a pulley supported by a frame or shell that does not transfer power to a shaft , but is used to guide the cable or exert a force , the supporting shell is called a block , and the pulley may be called a sheave .","Relation: supported, Related to: by a frame or shell<br/>Relation: may, Related to: called<br/>Relation: called, Related to: a sheave","Relation: is part of, Related to: a by<br/>Relation: is part of, Related to: a<br/>Relation: is defined as, Related to: or shell that does not transfer power to shaft<br/>Relation: is used for, Related to: guide the cable or exert a force , the<br/>Relation: causes, Related to: called a block , and the pulley may be called a sheave",1,2,,
dusk,"Dusk occurs at the darkest stage of twilight , or at the very end of astronomical twilight after sunset and just before night .","Relation: occurs, Related to: at the darkest stage of twilight , or at the very end of astronomical twilight","Relation: has the property, Related to: occurs at the<br/>Relation: is defined as, Related to: darkest stage of twilight , or at the very end of astronomical twilight after sunset and just before night",1,1,,
moon,The moon is after jupiter 's satellite io the second-densest satellite in the solar system among those whose densities are known .,"Relation: has the property, Related to: after jupiter 's<br/>Relation: is defined as, Related to: satellite io the second-densest satellite in the solar system among those whose<br/>Relation: is a, Related to: known","Relation: is, Related to: after jupiter 's satellite io",0,3,,
electromagnet,An electromagnet is a type of magnet in which the magnetic field is produced by an electric current .,"Relation: is, Related to: a type of magnet","Relation: is a, Related to: magnet in which the magnetic field<br/>Relation: is a, Related to: produced by an electric<br/>Relation: has the property, Related to: current",1,1,,
alcor,"As of november 30 , 2018 , alcor had 1,678 members , including 290 associate members and 164 who have died and whose bodies have been subject to cryopreservation , 96 of which have only their head preserved .","Relation: is used for, Related to: november<br/>Relation: causes, Related to: 30 , 2018 , alcor 1,678 members , including 290 associate members have died and whose bodies have been subject to cryopreservation , 96 of which have only their head preserved<br/>Relation: is defined as, Related to: and who","Relation: had, Related to: 1,678 members , including 290 associate members and 164<br/>Relation: including, Related to: 290 associate members and 164",0,3,,
gold,"Gold is a chemical element with symbol au -lrb- from latin : aurum -rrb- and atomic number 79 , making it one of the higher atomic number elements that occur naturally .","Relation: is, Related to: a chemical element with symbol au -lrb- from latin","Relation: is a, Related to: a chemical element with symbol au -lrb- from latin : aurum -rrb- and atomic number 79 , making it one of the higher atomic number elements that occur naturally",1,1,,
hue,"Hue can typically be represented quantitatively by a single number , often corresponding to an angular position around a central or neutral point or axis on a colorspace coordinate diagram -lrb- such as a chromaticity diagram -rrb- or color wheel , or by its dominant wavelength or that of its complementary color .","Relation: can, Related to: typically<br/>Relation: be, Related to: represented<br/>Relation: represented, Related to: by a single number<br/>Relation: corresponding, Related to: to an angular position around a central or neutral point or axis on a colorspace coordinate diagram -lrb- such as a chromaticity diagram -rrb- or color wheel , or by its dominant wavelength or that of its complementary color","Relation: has the property, Related to: represented quantitatively by a single number , often corresponding to an angular<br/>Relation: is defined as, Related to: position around a central or neutral point or axis on a colorspace coordinate diagram -lrb- such as chromaticity diagram -rrb- or color wheel , or by its dominant wavelength or that of its complementary color<br/>Relation: is part of, Related to: a",1,2,,
saving,"In terms of personal finance , saving generally specifies low-risk preservation of money , as in a deposit account , versus investment , wherein risk is a lot higher ; in economics more broadly , it refers to any income not used for immediate consumption .","Relation: specifies, Related to: low - risk preservation of money","Relation: is defined as, Related to: finance preservation of money , as<br/>Relation: is a, Related to: low-risk<br/>Relation: causes, Related to: in a deposit account , versus investment , wherein<br/>Relation: causes, Related to: a lot higher ; in economics more broadly , it refers to any income not used for immediate consumption",1,4,,
litter,"Litter consists of waste products that have been disposed of improperly , without consent , at an inappropriate location .","Relation: causes, Related to: been disposed of improperly , without consent , at an inappropriate location","Relation: consists, Related to: of waste products",0,1,,
thermometer,A thermometer has two important elements : -lrb- 1 -rrb- a temperature sensor -lrb- e.g. the bulb of a mercury-in-glass thermometer or the digital sensor in an infrared thermometer -rrb- in which some change occurs with a change in temperature ; and -lrb- 2 -rrb- some means of converting this change into a numerical value -lrb- e.g. the visible scale that is marked on a mercury-in-glass thermometer or the digital readout on an infrared model -rrb- .,"Relation: has, Related to: two important elements","Relation: is a, Related to: two important elements : -lrb- 1 -rrb- a temperature sensor -lrb- e.g. the bulb of a mercury-in-glass thermometer or the digital sensor in an infrared thermometer -rrb- in which some change occurs with a change<br/>Relation: causes, Related to: in<br/>Relation: causes, Related to: converting this change into a numerical value<br/>Relation: causes, Related to: marked on a mercury-in-glass thermometer or the digital readout on an infrared model -rrb-<br/>Relation: is defined as, Related to: temperature ; and -lrb- 2 -rrb- some means",1,2,,
concrete,"Concrete , usually portland cement concrete , is a composite material composed of fine and coarse aggregate bonded together with a fluid cement -lrb- cement paste -rrb- that hardens over time -- most frequently a lime-based cement binder , such as portland cement , but sometimes with other hydraulic cements , such as a calcium aluminate cement .","Relation: is a, Related to: a composite material composed of fine and coarse aggregate bonded together with a fluid cement -lrb- cement paste -rrb- that hardens over time -- most frequently a lime-based cement binder , such as portland cement , but<br/>Relation: is defined as, Related to: sometimes with other hydraulic cements , such as a calcium aluminate cement","Relation: portland, Related to: cement concrete<br/>Relation: is, Related to: a composite material composed of fine and coarse aggregate bonded together with a fluid cement -lrb- cement paste -rrb-",0,1,,
galaxy,"The word galaxy is derived from the greek galaxias -lrb-  -rrb- , literally `` milky '' , a reference to the milky way .","Relation: has the property, Related to: derived the greek galaxias -lrb-  -rrb- , literally `` milky '' ,<br/>Relation: is a, Related to: from<br/>Relation: is defined as, Related to: a reference to the milky way","Relation: derived, Related to: from the greek galaxias -lrb-  -rrb-",0,2,,
vice,"Vice is a practice , behaviour , or habit generally considered immoral , sinful , criminal , rude , taboo , depraved , or degrading in the associated society .","Relation: is, Related to: a practice , behaviour , or habit generally considered immoral , sinful , criminal , rude , taboo , depraved , or degrading in the associated society<br/>Relation: degrading, Related to: in the associated society","Relation: is a, Related to: a practice , behaviour , or habit generally considered immoral , sinful , criminal , rude , taboo , depraved , or degrading in the associated society",1,1,,
mountain,A mountain is generally steeper than a hill .,"Relation: is, Related to: generally steeper than a hill","Relation: has the property, Related to: steeper than a hill",1,2,,
cud,Cud is produced during the physical digestive process of rumination .,"Relation: is a, Related to: produced during the physical digestive process<br/>Relation: is defined as, Related to: of rumination","Relation: is, Related to: produced<br/>Relation: produced, Related to: during the physical digestive process of rumination",0,3,,
raspberry,"== etymology == raspberry derives its name from raspise , `` a sweet rose-colored wine '' -lrb- mid-15th century -rrb- , from the anglo-latin vinum raspeys , or from raspoie , meaning `` thicket '' , of germanic origin .","Relation: derives, Related to: its name","Relation: is a, Related to: etymology its name from raspise , `` a sweet rose-colored wine '' -lrb- mid-15th century -rrb- , from<br/>Relation: is defined as, Related to: the anglo-latin vinum raspeys , or from raspoie , meaning `` thicket '' , of germanic origin",1,3,,
knitting,"Knitting creates multiple loops of yarn , called stitches , in a line or tube .","Relation: creates, Related to: multiple loops of yarn","Relation: is defined as, Related to: of yarn , stitches , in a line or tube<br/>Relation: causes, Related to: called",1,2,,
mountain,"A mountain is a large landform that rises above the surrounding land in a limited area , usually in the form of a peak .","Relation: is, Related to: a large landform that rises above the surrounding land in a limited area , usually in the form of a peak","Relation: is a, Related to: a large landform that rises above the surrounding land in a limited area , usually in the form of a peak",1,1,,
incineration,Incineration and other high-temperature waste treatment systems are described as `` thermal treatment '' .,"Relation: are, Related to: described<br/>Relation: described, Related to: as `` thermal treatment ''","Relation: is a, Related to: described as `` thermal treatment ''",1,2,,
tricycle,"Some tricycles , such as cycle rickshaws -lrb- for passenger transport -rrb- and freight trikes , are used for commercial purposes , especially in the developing world , particularly africa and asia .","Relation: is a, Related to: cycle rickshaws -lrb- for passenger transport -rrb-<br/>Relation: is defined as, Related to: and<br/>Relation: is used for, Related to: commercial purposes , especially in the developing world , particularly africa and asia","Relation: are, Related to: used<br/>Relation: used, Related to: for commercial purposes",0,2,,
melbourne,"Melbourne -lrb- -lrb- listen -rrb- mel-brn -rrb- is the capital and most populous city of the australian state of victoria , and the second most populous city in australia and oceania .","Relation: listen, Related to: -rrb- mel - brn -rrb-<br/>Relation: is, Related to: the capital and most populous city of the australian state of victoria , and the second most populous city in australia and oceania","Relation: is a, Related to: mel-brn -rrb- capital<br/>Relation: is defined as, Related to: and most populous city of the australian state of victoria , and the second most populous city in australia and oceania",1,1,,
tricycle,"Tricycles are favoured by children and senior adults for their apparent stability versus a bicycle ; however a conventional trike has poor dynamic lateral stability , and the rider must take care when cornering to avoid tipping the trike over .","Relation: is a, Related to: favoured by children and senior adults for their apparent stability versus a bicycle ; however a conventional trike has poor dynamic lateral stability , and the rider must take care when cornering to avoid tipping the trike over","Relation: are, Related to: favoured by children and senior adults for their apparent stability<br/>Relation: favoured, Related to: by children and senior adults for their apparent stability",0,4,,
evergreen,"In botany , an evergreen is a plant that has leaves throughout the year that are always green .","Relation: is a, Related to: a plant that has leaves throughout the year that always green","Relation: is, Related to: a plant that has leaves throughout the year",0,1,,
maze,"== maze construction == mazes have been built with walls and rooms , with hedges , turf , corn stalks , hay bales , books , paving stones of contrasting colors or designs , and brick , or in fields of crops such as corn or , indeed , maize .","Relation: is a, Related to: construction == mazes have been built with walls and rooms , with hedges , turf , corn hay bales , books , stones contrasting colors or designs , and brick , or in fields of crops ,<br/>Relation: is defined as, Related to: such indeed , maize<br/>Relation: is part of, Related to: corn or","Relation: been, Related to: built<br/>Relation: built, Related to: with walls and rooms",0,5,,
flapping,"Flapping or tapping , also known as alveolar flapping , intervocalic flapping , or t-voicing , is a phonological process found in many dialects of english , especially north american english , australian english and new zealand english , by which the consonant phoneme / t / or / d / placed between vowels is pronounced as a voiced flap under certain conditions .","Relation: is used for, Related to: or tapping<br/>Relation: has the property, Related to: also known as alveolar flapping , intervocalic dialects<br/>Relation: is defined as, Related to: flapping , or t-voicing , especially north american english , australian english and new zealand english , by which consonant phoneme / t a voiced flap under certain conditions<br/>Relation: is a, Related to: a phonological process found in many of english<br/>Relation: is a, Related to: pronounced<br/>Relation: causes, Related to: as","Relation: known, Related to: as alveolar flapping , intervocalic flapping , or t - voicing<br/>Relation: flapping, Related to: alveolar<br/>Relation: is, Related to: a phonological process found in many dialects of english , especially north american english , australian english and new zealand english",0,1,,
russia,"At 17,125,200 square kilometres -lrb- 6,612,100 sq mi -rrb- , russia is the largest country in the world by area , covering more than one-eighth of the earth 's inhabited land area , and the ninth most populous , with about 146.77 million people as of 2019 , excluding crimea .","Relation: has the property, Related to: square kilometres -lrb- 6,612,100 sq mi<br/>Relation: is defined as, Related to: largest country in the world by area , covering more than one-eighth of the earth 's inhabited land area , and the ninth most populous , with about 146.77 million people as of 2019 , excluding crimea","Relation: is, Related to: the largest country in the world by area<br/>Relation: covering, Related to: more than one - eighth of the earth 's inhabited land area",0,4,,
politician,"A politician is a person active in party politics , or a person holding or seeking office in government .","Relation: is a, Related to: a person active in party politics , or a person holding or seeking office in government","Relation: is, Related to: a person active in party politics , or a person holding or seeking office in government<br/>Relation: seeking, Related to: office",0,1,,
bacon,"Bacon is prepared from several different cuts of meat , typically from the pork belly or from back cuts , which have less fat than the belly .","Relation: is, Related to: prepared from several different cuts<br/>Relation: prepared, Related to: from several different cuts of meat","Relation: is a, Related to: prepared<br/>Relation: has the property, Related to: from several different cuts of meat , typically from<br/>Relation: is defined as, Related to: the pork belly or from back cuts , which have less fat than the belly",1,2,,
music,"Different styles or types of music may emphasize , de-emphasize or omit some of these elements .","Relation: may, Related to: emphasize<br/>Relation: emphasize, Related to: de - emphasize or omit some of these elements<br/>Relation: omit, Related to: some of these elements","Relation: is used for, Related to: styles or<br/>Relation: causes, Related to: or omit some of these elements",1,3,,
petroleum,"Components of petroleum are separated using a technique called fractional distillation , i.e. separation of a liquid mixture into fractions differing in boiling point by means of distillation , typically using a fractionating column .","Relation: are, Related to: separated using a technique called fractional distillation , i.e. separation of a liquid mixture<br/>Relation: separated, Related to: using a technique<br/>Relation: using, Related to: a technique called fractional distillation , i.e. separation of a liquid mixture","Relation: is a, Related to: separated using a technique called fractional distillation , i.e. separation of a liquid mixture into fractions differing in boiling point by means of distillation , typically using a fractionating column",1,3,,
bar,The term `` bar '' is also derived from the metal or wooden bar that is often located at feet along the length of the `` bar '' .,"Relation: is a, Related to: also derived often located of the `` bar ''<br/>Relation: has the property, Related to: from the metal or wooden at feet along the length","Relation: is, Related to: from the metal or wooden bar<br/>Relation: derived, Related to: from the metal or wooden bar<br/>Relation: is, Related to: at feet along the length of the `` bar ''<br/>Relation: located, Related to: at feet along the length of the `` bar ''",0,4,,
good,"In economics , goods are materials that satisfy human wants and provide utility , for example , to a consumer making a purchase of a satisfying product .","Relation: is a, Related to: materials that satisfy human wants and provide utility , for example , to a consumer making a purchase of a satisfying product","Relation: are, Related to: materials that satisfy human wants and provide utility , for example , to a consumer<br/>Relation: provide, Related to: utility",0,1,,
menhaden,"Menhaden , also known as mossbunker and bunker , are forage fish of the genera brevoortia and ethmidium , two genera of marine fish in the family clupeidae .","Relation: is defined as, Related to: also known as mossbunker and the genera brevoortia and ethmidium , two genera of marine fish in the family clupeidae<br/>Relation: is a, Related to: fish of","Relation: known, Related to: as mossbunker and bunker<br/>Relation: are, Related to: forage fish of the genera brevoortia and ethmidium , two genera of marine fish",0,1,,
earplug,"An earplug is a device that is meant to be inserted in the ear canal to protect the user 's ears from loud noises or the intrusion of water , foreign bodies , dust or excessive wind .","Relation: is a, Related to: device that meant to be inserted protect the user 's ears from loud noises or the intrusion<br/>Relation: has the property, Related to: in the ear canal to<br/>Relation: is defined as, Related to: of water , foreign bodies , dust or excessive wind","Relation: is, Related to: a device that is meant to be inserted in the ear canal to protect the user 's ears from loud noises or the intrusion of water , foreign bodies , dust or excessive",0,1,,
confetti,"Modern paper confetti trace back to symbolic rituals of tossing grains and sweets during special occasions , traditional for numerous cultures throughout history as an ancient custom dating back to pagan times , but adapted from sweets and grains to paper through the centuries .","Relation: trace, Related to: back to symbolic rituals of tossing grains and sweets during special occasions<br/>Relation: adapted, Related to: from sweets and grains","Relation: is defined as, Related to: trace back symbolic rituals of grains and sweets during special occasions , traditional cultures an<br/>Relation: causes, Related to: tossing numerous throughout history pagan times , but adapted from sweets and grains to paper through the centuries",1,3,,
gypsum,"A massive fine-grained white or lightly tinted variety of gypsum , called alabaster , has been used for sculpture by many cultures including ancient egypt , mesopotamia , ancient rome , the byzantine empire and the nottingham alabasters of medieval england .","Relation: called, Related to: alabaster<br/>Relation: has, Related to: for sculpture by many cultures including ancient<br/>Relation: been, Related to: used<br/>Relation: used, Related to: for sculpture by many cultures including ancient egypt , mesopotamia , ancient rome , the byzantine empire and the nottingham alabasters of medieval england","Relation: is defined as, Related to: of gypsum , called alabaster , , mesopotamia , ancient rome , byzantine empire and the nottingham alabasters of medieval england<br/>Relation: is used for, Related to: sculpture by many cultures including ancient egypt",1,3,,
sanctuary,"== religious sanctuary == sanctuary is a word derived from the latin sanctuarium , which is , like most words ending in - arium , a container for keeping something in -- in this case holy things or perhaps cherished people -lrb- sanctae/sancti -rrb- .","Relation: is a, Related to: a word derived from the latin sanctuarium , which , like most words - arium , a container for keeping something<br/>Relation: has the property, Related to: ending in<br/>Relation: is defined as, Related to: in -- in case things or<br/>Relation: causes, Related to: this holy perhaps cherished people -lrb- sanctae/sancti -rrb-","Relation: is, Related to: a word derived from the latin sanctuarium",0,4,,
helmet,A helmet is a form of protective gear worn to protect the head .,"Relation: is a, Related to: a form of protective gear worn to protect the head","Relation: is, Related to: a form of protective gear",0,1,,
pottery,"The definition of pottery used by the american society for testing and materials -lrb- astm -rrb- , is `` all fired ceramic wares that contain clay when formed , except technical , structural , and refractory products . ''","Relation: is defined as, Related to: testing and materials<br/>Relation: is a, Related to: `` all fired ceramic wares that contain clay when formed ,<br/>Relation: has the property, Related to: except technical , structural , and refractory products ''","Relation: used, Related to: by the american society for testing and materials -lrb- astm -rrb-<br/>Relation: is, Related to: `` all fired ceramic wares",0,4,,
javascript,"Alongside html and css , javascript is one of the three core technologies of the world wide web .","Relation: is a, Related to: one<br/>Relation: has the property, Related to: of the three core technologies<br/>Relation: is defined as, Related to: of the world wide web","Relation: is, Related to: one of the three core technologies of the world wide web",0,3,,
everglades,"Everglades city -lrb- formerly known as everglades -rrb- is a city in collier county , florida , united states , of which it is the former county seat .","Relation: is a, Related to: a city in collier county , florida , united states , of which it the former county seat","Relation: known, Related to: as everglades -rrb-<br/>Relation: is, Related to: a city in collier county , florida , united states , of which",0,1,,
litter,"To litter means to drop and leave objects , often man-made , such as aluminum cans , cardboard boxes or plastic bottles on the ground and leave them there indefinitely or for others to dispose of as opposed to disposing of them properly .","Relation: means, Related to: to drop and leave objects , often man - made , such as aluminum cans , cardboard boxes or plastic bottles on the ground<br/>Relation: leave, Related to: objects , often man - made , such as aluminum cans , cardboard boxes or plastic bottles on the ground<br/>Relation: leave, Related to: them","Relation: is used for, Related to: drop and leave objects , often<br/>Relation: causes, Related to: man-made , such as aluminum cans , cardboard boxes or plastic bottles on the ground and leave them there indefinitely or for others to dispose of as opposed to disposing of them properly",1,3,,
chameleon,"Chameleons are distinguished by their feet ; their very extensive , highly modified , rapidly extrudable tongues ; their swaying gait ; and crests or horns on their brow and snout .","Relation: are, Related to: distinguished by their feet<br/>Relation: distinguished, Related to: by their feet","Relation: is a, Related to: distinguished by their feet ; their extensive , highly modified , rapidly extrudable tongues ; their swaying gait ; and crests or horns on their brow and snout<br/>Relation: has the property, Related to: very",1,3,,
pizza,"Pizza is a savory dish of italian origin , consisting of a usually round , flattened base of leavened wheat-based dough topped with tomatoes , cheese , and various other ingredients -lrb- anchovies , olives , meat , etc. -rrb- baked at a high temperature , traditionally in a wood-fired oven .","Relation: is a, Related to: a savory dish of italian origin , consisting of a usually round , flattened base of leavened wheat-based dough topped with tomatoes , cheese , and various other ingredients -lrb- anchovies , olives , meat , etc. -rrb- baked at a high temperature , traditionally in a wood-fired oven","Relation: is, Related to: a savory dish of italian origin",0,1,,
francisco,"In spanish , people with the name francisco sometimes are nicknamed `` paco '' : san francisco de ass was known as pater comunitatis -lrb- the community father -rrb- when he founded the franciscan order , `` paco '' is a short form of `` pater comunitatis '' .","Relation: is a, Related to: nicknamed `` paco '' : san francisco de ass known as pater comunitatis -lrb- the community father -rrb- when he the franciscan order , ``<br/>Relation: is a, Related to: a short form of `` pater comunitatis ''","Relation: was, Related to: known<br/>Relation: known, Related to: as pater comunitatis -lrb-",0,2,,
vibrio,"Typically found in salt water , vibrio species are facultative anaerobes that test positive for oxidase and do not form spores .","Relation: is a, Related to: facultative anaerobes that test positive<br/>Relation: has the property, Related to: for oxidase and do not form spores","Relation: are, Related to: facultative anaerobes that test positive for oxidase<br/>Relation: do, Related to: form spores<br/>Relation: form, Related to: spores",0,2,,
magnetometer,"A magnetometer or magnetic sensor is an instrument that measures magnetism -- either the magnetization of a magnetic material like a ferromagnet , or the direction , strength , or relative change of a magnetic field at a particular location .","Relation: is a, Related to: or magnetic sensor<br/>Relation: is a, Related to: an instrument that measures magnetism -- either the magnetization of a magnetic material like a ferromagnet , or<br/>Relation: is defined as, Related to: the direction , strength , or relative change of a magnetic field at a particular location","Relation: is, Related to: an instrument that measures magnetism -- either the magnetization of a magnetic material like a ferromagnet , or the direction , strength , or relative change of a magnetic field at a particular location",0,1,,
gypsum,"Gypsum is a soft sulfate mineral composed of calcium sulfate dihydrate , with the chemical formula caso4  2h2o .","Relation: is, Related to: a soft sulfate mineral composed of calcium sulfate dihydrate , with the chemical formula","Relation: is a, Related to: a soft sulfate mineral composed of calcium sulfate dihydrate , with the chemical formula caso4  2h2o",1,1,,
